"","wipo_field","year","freq"
"508","Machine tools","1994",31
"509","Macromolecular chemistry, polymers","1994",40
"510","Materials, metallurgy","1994",80
"511","Measurement","1994",250
"512","Mechanical elements","1994",59
"513","Medical technology","1994",58
"514","Micro-structural and nano-technology","1994",2
"515","Optics","1994",145
"516","Organic fine chemistry","1994",113
"517","Other consumer goods","1994",12
"518","Other special machines","1994",74
"519","Pharmaceuticals","1994",75
"520","Semiconductors","1994",129
"521","Surface technology, coating","1994",66
"522","Telecommunications","1994",64
"523","Textile and paper machines","1994",12
"524","Thermal processes and apparatus","1994",17
"525","Transport","1994",64
"526","Analysis of biological materials","1995",46
"527","Audio-visual technology","1995",23
"528","Basic communication processes","1995",45
"529","Basic materials chemistry ","1995",45
"530","Biotechnology","1995",261
"531","Chemical engineering","1995",38
"532","Civil engineering","1995",12
"533","Computer technology","1995",54
"534","Control","1995",19
"535","Digital communication","1995",12
"536","Electrical machinery, apparatus, energy","1995",147
"537","Engines, pumps, turbines","1995",81
"538","Environmental technology","1995",37
"539","Food chemistry","1995",6
"540","Furniture, games","1995",1
"541","Handling","1995",12
"542","IT methods for management","1995",0
"543","Machine tools","1995",22
"544","Macromolecular chemistry, polymers","1995",33
"545","Materials, metallurgy","1995",80
"546","Measurement","1995",249
"547","Mechanical elements","1995",30
"548","Medical technology","1995",29
"549","Micro-structural and nano-technology","1995",4
"550","Optics","1995",98
"551","Organic fine chemistry","1995",120
"552","Other consumer goods","1995",3
"553","Other special machines","1995",64
"554","Pharmaceuticals","1995",77
"555","Semiconductors","1995",130
"556","Surface technology, coating","1995",58
"557","Telecommunications","1995",55
"558","Textile and paper machines","1995",10
"559","Thermal processes and apparatus","1995",13
"560","Transport","1995",67
"561","Analysis of biological materials","1996",61
"562","Audio-visual technology","1996",23
"563","Basic communication processes","1996",37
"564","Basic materials chemistry ","1996",48
"565","Biotechnology","1996",374
"566","Chemical engineering","1996",51
"567","Civil engineering","1996",12
"568","Computer technology","1996",78
"569","Control","1996",25
"570","Digital communication","1996",12
"571","Electrical machinery, apparatus, energy","1996",148
